Meso	VM	SM	CM	Meso_SM	VM_SM	Tin_2_4h	Tin_4_6h	Tin_6_8h	Bin_6_8h	Bin_8_10h	Bin_10_12h	Twi_2_4h	Twi_4_6h	Twi_6_8h	Bap_6_8h	Mef2_2_4h	Mef2_4_6h	Mef2_6_8h	Mef2_8_10h	Mef2_10_12h
Meso	0	0	0	0	0	0.00237999999999892	0	0	0	0	0	0	0.0149599999999984	0	0	0	0	0	0	0	0
VM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SM	0	0.0025200000000008	0	0	0	0.0149600000000064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183399999999959
CM	0	0	0	0	0	0	0	0	0	0	0	0.00147999999999938	0	0	0	0	0	0	0	0	0
Meso_SM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183000000000133	0.00165999999999942	0	0	0	0
VM_SM	0.000840000000000069	0	0	0	0	0	0	0	0	0	0	1.99999999999857e-05	0.0284999999999938	0.00894000000000286	0	0	0	0	0	0	0.143439999999977
Tin_2_4h	0	0	0	0	0.732619999999957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tin_4_6h	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tin_6_8h	0	0	0	0	0	0	0	0	0	0	0	0	0.0122800000000044	0	0	1	0.0186599999999929	0	0	0	0
Bin_6_8h	0	0	0	0	0	0	0	0	0	0	1	0.0106400000000005	0.0251999999999995	0	0	0	0	0	0	0	0
Bin_8_10h	0	0.990659999999999	0	0	0	0	0	0	0	0	0	0.993919999999998	0	0	0	0	0	0	0	0	0
Bin_10_12h	0	0.000399999999999789	0	0	0.00126	0.014379999999997	0	0	0	0	0.00608000000000209	0	0	0	0	0	0	0	0	0	0
Twi_2_4h	0.0697799999999876	0	0	0	0	0.00678000000000101	0	0	0.0410599999999897	0	0	0	0	0.0424400000000008	0	0	0	0	0.00101999999999974	0	0
Twi_4_6h	0	0	0	0	0	0	0	1	0	0	0	0	0.957559999999999	0	0.142059999999998	0	0	1	0	0	0
Twi_6_8h	0	0	0	0	0	0	0	0.0016399999999999	0	0	0	0	0	0.857940000000002	0	0	0	0.051220000000012	0.319020000000049	0	0
Bap_6_8h	0	0	0	0	0.00340000000000073	0	0	0	0	1	0	0	0.00107999999999889	0	0	0	0.00960000000000783	0	0	0	0
Mef2_2_4h	0.00280000000000094	0	0	0.00752000000000044	0.314479999999997	0.0288400000000066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mef2_4_6h	0	0	0	0	0.0131800000000046	0	0	1	0	0	0.0103800000000018	0	0	0	0	0	1	0	0	0	0
Mef2_6_8h	0	0	0	0	0	0	0	0	0.978159999999998	0	0	0	0	0	0.680979999999951	0	0.0363799999999927	1	0	0.48321999999996	0
Mef2_8_10h	0	0	0	0	0	0	0	0	0.00524000000000497	0	0	0	0	0	0	0	0.000179999999999985	0.0713999999999803	0.51678000000004	0	0.690499999999997
Mef2_10_12h	0	0.0171799999999841	0.0121799999999993	0	0	0.856560000000023	0	0	0	0	0	0	0	0	0.00111999999999982	0	0.0213799999999911	0	0	0.309500000000003	0
