Method	N	B	Precision.Mean	Precision.SD	Recall.Mean	Recall.SD	MSE.Mean	MSE.SD
baycn	100	0.2	0.94	0.21	0.44	0.26	0.16	0.03
baycn	100	0.5	0.98	0.06	0.99	0.05	0.08	0.03
baycn	100	1	0.97	0.07	1	0	0.03	0.03
baycn	200	0.2	0.99	0.05	0.72	0.21	0.12	0.03
baycn	200	0.5	0.99	0.04	1	0	0.07	0.05
baycn	200	1	0.98	0.06	1	0	0.02	0.02
baycn	600	0.2	0.99	0.04	1	0	0.09	0.02
baycn	600	0.5	0.99	0.04	1	0	0.07	0.06
baycn	600	1	0.98	0.06	1	0	0.01	0.01
mc3	100	0.2	0.94	0.21	0.5	0.26	0.14	0.02
mc3	100	0.5	0.98	0.07	1	0	0.08	0.02
mc3	100	1	0.9	0.12	1	0	0.07	0.04
mc3	200	0.2	0.98	0.07	0.77	0.22	0.12	0.03
mc3	200	0.5	0.99	0.04	1	0	0.07	0.04
mc3	200	1	0.95	0.09	1	0	0.03	0.03
mc3	600	0.2	0.99	0.04	0.99	0.05	0.09	0.02
mc3	600	0.5	0.99	0.04	1	0	0.07	0.05
mc3	600	1	0.99	0.04	1	0	0.01	0.01
order	100	0.2	0.8	0.41	0.29	0.21	0.21	0.04
order	100	0.5	0.99	0.05	0.96	0.09	0.08	0.03
order	100	1	0.99	0.04	1	0	0.01	0.02
order	200	0.2	0.91	0.28	0.48	0.24	0.19	0.05
order	200	0.5	1	0	1	0	0.07	0.05
order	200	1	0.99	0.04	1	0	0.01	0.03
order	600	0.2	1	0	0.96	0.12	0.09	0.03
order	600	0.5	1	0	1	0	0.06	0.06
order	600	1	1	0	1	0	0	0
partition	100	0.2	0.92	0.28	0.36	0.22	0.17	0.02
partition	100	0.5	0.98	0.06	0.97	0.08	0.07	0.02
partition	100	1	0.98	0.07	1	0	0.02	0.02
partition	200	0.2	0.99	0.07	0.6	0.2	0.14	0.03
partition	200	0.5	0.99	0.04	1	0	0.07	0.04
partition	200	1	0.99	0.04	1	0	0.01	0.01
partition	600	0.2	0.99	0.05	0.97	0.11	0.09	0.02
partition	600	0.5	1	0	1	0	0.06	0.06
partition	600	1	1	0	1	0	0	0
bcdag	100	0.2	0.04	0.2	0.01	0.05	0.25	0.01
bcdag	100	0.5	0.99	0.07	0.65	0.16	0.14	0.04
bcdag	100	1	0.99	0.07	0.96	0.12	0.07	0.12
bcdag	200	0.2	0.2	0.41	0.05	0.1	0.24	0.02
bcdag	200	0.5	1	0	0.98	0.07	0.08	0.06
bcdag	200	1	1	0	1	0	0	0
bcdag	600	0.2	1	0	0.52	0.18	0.16	0.03
bcdag	600	0.5	1	0	1	0	0.08	0.14
bcdag	600	1	1	0	1	0	0	0
scanBMA	100	0.2	0.88	0.33	0.35	0.25	-	-
scanBMA	100	0.5	0.95	0.1	0.97	0.08	-	-
scanBMA	100	1	0.79	0.03	0.99	0.05	-	-
scanBMA	200	0.2	0.98	0.08	0.67	0.22	-	-
scanBMA	200	0.5	0.87	0.11	1	0	-	-
scanBMA	200	1	0.8	0	1	0	-	-
scanBMA	600	0.2	0.98	0.07	0.99	0.05	-	-
scanBMA	600	0.5	0.8	0	1	0	-	-
scanBMA	600	1	0.8	0	1	0	-	-
