Method	N	B	Precision.Mean	Precision.SD	Recall.Mean	Recall.SD	MSE.Mean	MSE.SD
baycn	100	0.2	0.77	0.25	0.42	0.18	0.09	0.01
baycn	100	0.5	0.93	0.09	0.98	0.05	0.04	0.02
baycn	100	1	0.92	0.08	1	0.03	0.02	0.02
baycn	200	0.2	0.93	0.09	0.7	0.18	0.07	0.01
baycn	200	0.5	0.94	0.08	1	0	0.03	0.02
baycn	200	1	0.95	0.07	1	0	0.02	0.01
baycn	600	0.2	0.95	0.06	1	0.03	0.05	0.02
baycn	600	0.5	0.96	0.05	1	0	0.03	0.03
baycn	600	1	0.94	0.07	1	0	0.01	0.01
mc3	100	0.2	0.77	0.17	0.53	0.15	0.09	0.01
mc3	100	0.5	0.89	0.11	0.98	0.04	0.04	0.01
mc3	100	1	0.87	0.09	0.99	0.03	0.04	0.02
mc3	200	0.2	0.92	0.1	0.77	0.15	0.07	0.01
mc3	200	0.5	0.92	0.09	1	0	0.04	0.01
mc3	200	1	0.91	0.08	1	0	0.02	0.01
mc3	600	0.2	0.96	0.05	1	0.03	0.05	0.02
mc3	600	0.5	0.97	0.06	1	0	0.02	0.01
mc3	600	1	0.95	0.06	1	0	0.01	0.01
order	100	0.2	0.83	0.29	0.31	0.17	0.11	0.01
order	100	0.5	0.98	0.06	0.97	0.05	0.03	0.01
order	100	1	0.96	0.06	1	0.03	0.01	0.01
order	200	0.2	0.95	0.1	0.53	0.16	0.09	0.02
order	200	0.5	0.99	0.03	1	0	0.02	0.01
order	200	1	0.99	0.03	1	0	0	0
order	600	0.2	0.99	0.03	0.98	0.06	0.05	0.02
order	600	0.5	0.99	0.04	1	0	0.02	0.01
order	600	1	1	0.02	1	0	0	0
partition	100	0.2	0.82	0.25	0.37	0.17	0.09	0.01
partition	100	0.5	0.97	0.05	0.96	0.06	0.03	0.01
partition	100	1	0.94	0.08	1	0.03	0.02	0.01
partition	200	0.2	0.94	0.1	0.6	0.17	0.07	0.01
partition	200	0.5	0.99	0.04	1	0	0.03	0.02
partition	200	1	0.98	0.04	1	0	0.01	0.01
partition	600	0.2	0.98	0.04	0.98	0.06	0.05	0.02
partition	600	0.5	0.98	0.04	1	0	0.02	0.02
partition	600	1	1	0.02	1	0	0	0
bcdag	100	0.2	0.08	0.28	0.01	0.03	0.12	0
bcdag	100	0.5	0.98	0.06	0.74	0.12	0.05	0.02
bcdag	100	1	0.99	0.04	0.96	0.07	0.05	0.04
bcdag	200	0.2	0.28	0.46	0.04	0.08	0.12	0.01
bcdag	200	0.5	1	0	0.99	0.03	0.04	0.03
bcdag	200	1	0.96	0.11	0.98	0.06	0.03	0.05
bcdag	600	0.2	1	0	0.56	0.17	0.07	0.01
bcdag	600	0.5	1	0	1	0	0.04	0.04
bcdag	600	1	0.95	0.11	0.99	0.03	0.02	0.05
scanBMA	100	0.2	0.8	0.29	0.34	0.18	-	-
scanBMA	100	0.5	0.9	0.08	0.95	0.07	-	-
scanBMA	100	1	0.85	0.06	0.98	0.04	-	-
scanBMA	200	0.2	0.93	0.1	0.63	0.19	-	-
scanBMA	200	0.5	0.86	0.06	1	0	-	-
scanBMA	200	1	0.88	0.03	1	0	-	-
scanBMA	600	0.2	0.93	0.06	0.99	0.03	-	-
scanBMA	600	0.5	0.86	0.04	1	0	-	-
scanBMA	600	1	0.87	0.04	1	0	-	-
