## Support Vector Machine training set (CAD overlapping CRM Atlas) 
# crm_id: CRM id (of the CRM Atlas).
# chr, start, stop: genomic coordinates.
# CAD_CRMs: id(s) of CAD CRMs overlapping the CRM.
# {Meso, SM, VM, Meso_SM, VM_SM}: Does the CRM belong (1) or not (0) to the class {'Meso only', 'SM only', 'VM only', 'Meso and SM only', 'VM and SM only'}.   
# tin_2.4,..., Mef2_10.12: peak height  in condition of interest (i.e. ChIP log2 enrichment at peak). Values 0 if no peak reported.
crm_id	chr	start	stop	CAD_CRMs	Meso	VM	SM	CM	Meso_SM	VM_SM	tin_2.4	tin_4.6	tin_6.8	bin_6.8	bin_8.10	bin_10.12	twi_2.4	twi_4.6	twi_6.8	bap_6.8	mef2_2.4	mef2_4.6	mef2_6.8	mef2_8.10	mef2_10.12
2508	3R	12598042	12598295	Ubx_dorsal_imaginal_disc_enhancer	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0	0.78	0	0	0	0	0	0
2498	3R	12570955	12571155	Ubx_2218S	1	0	0	0	0	0	0	0	0	0	0	0	1.06	0	0	0	0	0	0	0	0
3655	3L	1445462	1445722	rho_MLE,rho_NEE,rho_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	2.97	1.7	0	0	0	0	0	0	0
2811	3R	17214242	17214520	bap_baplac4.5	0	1	0	0	0	0	1.62	2.83	1.88	2.88	0	0	0	0	0	2.02	0	0	1.33	0	0
5382	2L	3609083	3609283	odd_CE8010	0	0	0	0	0	0	0	0	0	0	0	0	2.63	0	0	0	0	0	0	0	0
1500	2R	20733286	20733718	Kr_HBg0.6HZ_NR,Kr_SN1.7KrZ_NR	0	0	1	0	0	0	0	0	0.92	1.53	0	0	0	0	0	0	0	1.17	0	0	0
3313	3R	25099344	25099641	stg_b-E5.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.39	2.5	1.97	0	0
7813	X	17950780	17951096	TnI_IRE_enhancer[FL]_NR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.21	1.84	2.68	1.99
2424	3R	11817607	11817807	srp_A7.1EB_NR	0	0	0	0	0	0	0	0	1.26	0	0	0	0	0	0	0	0	0	0	0	0
6136	2L	15474381	15474881	sna_0.9	0	0	0	0	0	0	0	2.35	2.06	0	0	0	0	0	1.04	1.47	2.33	3.23	2.84	2.37	1.21
2978	3R	19123801	19124001	pnt_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46	0	0	0	0	0
3091	3R	20574989	20575189	tld_promoterfusion	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0
3922	3L	5809910	5810110	vn_enhancer[FL],vn_neurogenic_ectoderm	0	0	0	0	0	0	0	0	0	0	0	0	2.25	0	0	0	0	0	0	0	0
1186	2R	16451215	16451426	Act57B_-539/+2,actin57B_enhancer[FL]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	2.27	0	0
1476	2R	20560783	20561076	gsb-n_gsbnE	0	0	0	0	0	0	0	0	0	0	0	0	1.62	0	0	0	0	0	0	0	1.42
242	2R	4309888	4310211	sns_enhancer[FL]	0	0	1	0	0	0	0	2.18	1.78	1.43	0	0	0	1.73	0	2.2	0	2.18	1.7	1.61	1.8
